Spanish,English
que,that
de,from
no,no
a,to
la,the
el,the
es,it is
y,and
en,on
lo,it
un,a
por,by
qué,that
me,I
una,a
te,tea
los,the
se,I know
con,with
para,for
mi,me
está,is
si,Yes
bien,well
pero,but
yo,me
eso,that
las,the
sí,Yes
su,its
tu,your
aquí,here
del,of the
al,to the
como,What
le,you
más,plus
esto,this
ya,already
todo,everything
esta,is
vamos,we go
muy,very
hay,there are
ahora,now
algo,something
estoy,am
tengo,I have
nos,us
tú,your
nada,any
cuando,when
ha,he has
este,this
sé,he
estás,these
así,So
puedo,Can I
cómo,excuse me
quiero,want
sólo,single
soy,I am
tiene,have
gracias,Thank you
o,or
él,he
bueno,well
fue,it was
ser,be
hacer,do
son,are
todos,everybody
era,was
eres,are
vez,time
tienes,you have
creo,I think
ella,she
he,He.
ese,that
voy,go
puede,may
sabes,you know
hola,hello
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,want
casa,home
favor,favor
esa,this
dos,two
tan,so
señor,Mister
tiempo,weather
verdad,truth
estaba,was